N,Max_Tesoro,Pasos,Tiempo
20,592,400,0.000000
18,517,324,0.000000
16,460,256,0.000000
14,395,196,0.000000
12,319,144,0.000000
10,239,100,0.000000
8,205,64,0.000000
6,130,36,0.000000
4,65,16,0.000000
2,19,4,0.000000


5000,154543,25000000,0.081000
4900,151461,24010000,0.079000
4800,148343,23040000,0.074000
4700,145257,22090000,0.071000
4600,142227,21160000,0.069000
4500,139101,20250000,0.066000
4400,135992,19360000,0.063000
4300,132853,18490000,0.060000
4200,129764,17640000,0.059000
4100,126631,16810000,0.055000
4000,123500,16000000,0.053000
3900,120416,15210000,0.049000
3800,117249,14440000,0.046000
3700,114157,13690000,0.044000
3600,111066,12960000,0.042000
3500,107949,12250000,0.041000
3400,104924,11560000,0.038000
3300,101807,10890000,0.037000
3200,98724,10240000,0.069000
3100,95632,9610000,0.031000
3000,92590,9000000,0.029000
2900,89537,8410000,0.028000
2800,86345,7840000,0.026000
2700,83278,7290000,0.026000
2600,80216,6760000,0.025000
2500,77169,6250000,0.023000
2400,74117,5760000,0.019000
2300,70966,5290000,0.017000
2200,67863,4840000,0.016000
2100,64795,4410000,0.014000
2000,61731,4000000,0.014000
1900,58614,3610000,0.013000
1800,55457,3240000,0.011000
1700,52415,2890000,0.009000
1600,49357,2560000,0.009000
1500,46165,2250000,0.007000
1400,43086,1960000,0.007000
1300,39952,1690000,0.006000
1200,36875,1440000,0.005000
1100,33844,1210000,0.005000
1000,30781,1000000,0.004000
900,27657,810000,0.003000
800,24604,640000,0.002000
700,21513,490000,0.002000
600,18427,360000,0.002000
500,15316,250000,0.001000
400,12255,160000,0.000000
300,9181,90000,0.000000
200,6111,40000,0.000000
100,3032,10000,0.000000